| Sector | Object_Name | AGN_Type | Chi2_Flux/StdDev | Reduced_Chi2_Flux/StdDev | Chi2_Flux/Errors | Reduced_Chi2_Flux/Errors |
| 02 | ESO153-020 | S2 | 1235.4802 | 1.0144 | 5007.3836 | 4.1078 |
| 02 | PGC376693 | S1.9 | 1263.7355 | 1.0393 | 5901.6188 | 4.8493 |
| 02 | PGC073132 | S2 | 1220.1782 | 1.0429 | 7018.8012 | 5.9939 |
| 02 | ESO113-010 | S1.8 | 1447.7021 | 1.1828 | 38613.2191 | 31.5210 |
| 02 | ESO116-018 | S2 | 1217.2844 | 1.0019 | 4051.7444 | 3.3320 |
| 02 | PGC097511 | S2 | 1217.7015 | 1.0014 | 4370.6723 | 3.5913 |
| 02 | PGC397822 | S1.5 | 1517.5511 | 1.2408 | 12698.7521 | 10.3748 |
| 02 | ESO157-023 | S2 | 1353.8275 | 1.1152 | 5633.5847 | 4.6367 |
| 02 | ESO033-002 | S2 | 1261.5009 | 1.0340 | 4603.7948 | 3.7705 |
| 02 | ESO055-002 | S2 | 1223.0460 | 1.0000 | 7180.1590 | 5.8661 |
| 02 | PGC268761 | S2 | 1368.6696 | 1.1237 | 7597.3149 | 6.2324 |
| 02 | IC2202 | S2 | 1257.0969 | 1.0389 | 4818.1727 | 3.9787 |
| 02 | ESO121-028 | S2 | 1401.4077 | 1.1496 | 6906.3016 | 5.6609 |
| 02 | PGC326141 | S2 | 1259.2681 | 1.0322 | 5354.4400 | 4.3853 |
| 04 | NGC1071 | S2 | 1091.3525 | 1.1875 | 3371.5720 | 3.6648 |
| 04 | PGC010875 | S2 | 1071.9783 | 1.1539 | 12153.4806 | 13.0683 |
| 04 | PGC3102958 | S2 | 974.2330 | 1.0682 | 2368.7315 | 2.5944 |
| 04 | NGC0985 | S1.5 | 1309.0126 | 1.4121 | 57726.8855 | 62.2057 |
| 04 | PGC1004226 | S2 | 938.5015 | 1.0268 | 2490.9285 | 2.7223 |
| 04 | PGC996204 | S2 | 962.2462 | 1.0325 | 2852.5569 | 3.0574 |
| 04 | SDSSJ023411.77-074538.4 | S2 | 921.5210 | 1.0038 | 2768.5234 | 3.0125 |
| 04 | PGC3102435 | S2 | 976.8434 | 1.0560 | 3125.4055 | 3.3752 |
| 04 | PGC3103581 | S2 | 1184.9693 | 1.2810 | 2921.6437 | 3.1551 |
| 04 | PGC3103960 | S2 | 1496.0241 | 1.6243 | 15838.1504 | 17.1780 |
| 04 | PGC1026552 | S2 | 929.8584 | 1.0218 | 2101.5594 | 2.3069 |
| 04 | 2MASXJ02312960-0751579 | S2 | 1041.8436 | 1.1386 | 3529.0483 | 3.8527 |
| 04 | 3C062 | S2 | 1297.1236 | 1.3888 | 8433.5864 | 9.0199 |
| 04 | PGC3101915 | S2 | 965.6370 | 1.0519 | 3098.0686 | 3.3711 |
| 04 | PGC999121 | S2 | 911.0393 | 1.0000 | 2124.2132 | 2.3292 |
| 04 | PGC1013796 | S2 | 923.1751 | 1.0002 | 2604.1616 | 2.8184 |
| 04 | SDSSJ021047.00-100152.9 | S2 | 1000.4858 | 1.0863 | 3647.0034 | 3.9555 |
| 04 | PGC996706 | S2 | 920.3368 | 1.0015 | 2695.2480 | 2.9296 |
| 04 | SDSSJ024940.18-082804.6 | S2 | 927.8125 | 1.0162 | 2031.6962 | 2.2229 |
| 04 | PGC996191 | S2 | 1045.3400 | 1.1387 | 3009.7825 | 3.2751 |
| 04 | PGC1024915 | S2 | 951.7997 | 1.0482 | 2329.1252 | 2.5623 |
| 04 | NGC1048A | S2 | 978.6617 | 1.0672 | 4209.6267 | 4.5856 |
| 04 | PGC3103535 | S2 | 912.0850 | 1.0001 | 2809.0400 | 3.0767 |
| 04 | PGC3103624 | S2 | 2060.6485 | 2.2063 | 101154.6534 | 108.1868 |
| 04 | PGC994862 | S2 | 1008.9241 | 1.0872 | 4004.9237 | 4.3110 |
| 04 | SDSSJ024655.62-071320.4 | S2 | 1022.6162 | 1.1067 | 3652.8023 | 3.9490 |
| 04 | PGC3101478 | S2 | 2359.2110 | 2.5205 | 489456.8417 | 522.3659 |
| 04 | PGC011091 | S2 | 1672.5953 | 1.8200 | 12830.6115 | 13.9463 |
| 04 | PGC3102488 | S2 | 997.7314 | 1.0798 | 2951.8508 | 3.1912 |
| 04 | NGC0835 | S2 | 951.3652 | 1.0219 | 4443.2281 | 4.7674 |
| 04 | PGC1022476 | S2 | 930.0549 | 1.0087 | 2660.1653 | 2.8821 |
| 04 | PGC3104106 | S2 | 921.4604 | 1.0005 | 2416.4139 | 2.6208 |
| 04 | PGC3101879 | S2 | 982.6057 | 1.0669 | 2988.5103 | 3.2413 |
| 04 | PGC1001111 | S2 | 927.1571 | 1.0012 | 2621.9320 | 2.8284 |
| 04 | PGC3104347 | S2 | 942.9911 | 1.0129 | 31740.6043 | 34.0564 |
| 04 | PGC1013591 | S2 | 990.2902 | 1.0741 | 3059.5515 | 3.3148 |
| 04 | PGC1002506 | S2 | 947.5026 | 1.0310 | 3801.7587 | 4.1323 |
| 04 | PGC3104250 | S2 | 984.0320 | 1.0825 | 3033.4702 | 3.3335 |
| 04 | PGC1024043 | S2 | 981.2049 | 1.0608 | 2893.7804 | 3.1250 |
| 04 | SDSSJ032021.94-075020.0 | S2 | 1115.2939 | 1.2256 | 3422.2863 | 3.7566 |
| 04 | PGC1039745 | S2 | 953.1215 | 1.0304 | 3652.7006 | 3.9446 |
| 04 | PGC3105277 | S2 | 928.5374 | 1.0006 | 3477.5505 | 3.7433 |
| 04 | PGC1004463 | S2 | 3103.0891 | 3.4025 | 29980.7425 | 32.8376 |
| 04 | PGC1029077 | S2 | 8475.8416 | 10.2119 | 78405.9017 | 94.3513 |
| 04 | PGC1157370 | S2 | 1175.2555 | 1.2597 | 3874.8872 | 4.1487 |
| 04 | SDSSJ032952.39-005407.9 | S2 | 1119.7149 | 1.2171 | 5245.8418 | 5.6958 |
| 04 | PGC1147868 | S2 | 1096.2920 | 1.1775 | 8117.7458 | 8.7100 |
| 04 | PGC011573 | S2 | 1034.7377 | 1.1333 | 6251.1754 | 6.8394 |
| 04 | PGC1168878 | S2 | 1008.0700 | 1.0957 | 3519.7785 | 3.8217 |
| 04 | PGC1023346 | S2 | 923.5132 | 1.0060 | 2956.2459 | 3.2168 |
| 04 | PGC3112087 | S2 | 1097.9555 | 1.1831 | 3736.0289 | 4.0216 |
| 04 | SDSSJ032229.72-010022.4 | S2 | 999.2230 | 1.0814 | 2735.0936 | 2.9569 |
| 04 | PGC3105257 | S2 | 956.8758 | 1.0289 | 3214.0434 | 3.4522 |
| 04 | PGC3103725 | S2 | 1155.9159 | 1.2702 | 3843.6053 | 4.2191 |
| 04 | 2MASXJ03161903-0747016 | S2 | 1031.9090 | 1.1204 | 3847.1545 | 4.1726 |
| 04 | PGC3105328 | S2 | 1054.6030 | 1.1438 | 3652.0213 | 3.9567 |
| 04 | SDSSJ032505.74-060858.0 | S2 | 942.7592 | 1.0315 | 2926.8851 | 3.1988 |
| 04 | PGC1138991 | S2 | 940.9625 | 1.0206 | 3279.1338 | 3.5527 |
| 04 | 2MASXJ03134812-0653323 | S2 | 1249.0927 | 1.3345 | 40064.3134 | 42.7581 |
| 04 | PGC3095634 | S2 | 1023.2276 | 1.1062 | 2707.0986 | 2.9234 |
| 04 | PGC3104580 | S2 | 937.4192 | 1.0134 | 245976.0163 | 265.6328 |
| 04 | PGC1161624 | S2 | 935.6361 | 1.0104 | 3758.9063 | 4.0549 |
| 04 | PGC1029775 | S2 | 989.2328 | 1.0660 | 3417.2512 | 3.6784 |
| 04 | PGC1034524 | S2 | 964.8616 | 1.0431 | 3047.3776 | 3.2909 |
| 04 | PGC3105438 | S2 | 910.3863 | 1.0026 | 3409.7066 | 3.7511 |
| 04 | PGC012801 | S1.8 | 1136.4298 | 1.2475 | 10350.1124 | 11.3488 |
| 04 | PGC1004754 | S2 | 914.6723 | 1.0007 | 3558.9578 | 3.8896 |
| 04 | PGC3104044 | S2 | 935.3149 | 1.0166 | 2982.7028 | 3.2385 |
| 04 | PGC1015939 | S2 | 1032.6076 | 1.1127 | 3581.4646 | 3.8552 |
| 04 | NGC1204 | S2 | 939.6732 | 1.0050 | 52243.0332 | 55.8152 |
| 04 | PGC1014039 | S2 | 962.6361 | 1.0351 | 3189.6159 | 3.4260 |
| 04 | PGC3080455 | S2 | 1236.4456 | 1.3425 | 12324.3490 | 13.3670 |
| 04 | NGC1320 | S2 | 1238.0079 | 1.3604 | 9679.6077 | 10.6253 |
| 04 | PGC1021644 | S2 | 1748.5996 | 1.8843 | 8114.3030 | 8.7344 |
| 04 | SDSSJ031428.26-072517.8 | S2 | 1029.8004 | 1.1193 | 2952.1555 | 3.2054 |
| 04 | PGC3104352 | S2 | 1052.3392 | 1.1364 | 3713.3794 | 4.0058 |
| 04 | PGC3104447 | S2 | 1920.3784 | 2.0896 | 36277.4689 | 39.4320 |
| 04 | SDSSJ032834.22-011257.5 | S2 | 944.5451 | 1.0278 | 3170.0604 | 3.4457 |
| 04 | PGC3104716 | S2 | 988.9627 | 1.0761 | 3399.0412 | 3.6946 |
| 04 | PGC3103748 | S2 | 948.3512 | 1.0444 | 2762.0562 | 3.0386 |
| 04 | PGC1140058 | S2 | 993.8311 | 1.0909 | 3928.0995 | 4.3071 |
| 04 | PGC3104632 | S2 | 922.7432 | 1.0063 | 2897.6947 | 3.1565 |
| 04 | 2MASXJ03225887-0639032 | S2 | 925.3567 | 1.0158 | 4186.9772 | 4.5910 |
| 04 | PGC3104728 | S2 | 1010.9284 | 1.1000 | 4503.4038 | 4.8950 |
| 04 | 2MASXJ03283612-0539393 | S2 | 1086.2303 | 1.1871 | 3298.8503 | 3.6014 |
| 04 | PGC1149649 | S2 | 1037.0626 | 1.1175 | 3429.5562 | 3.6917 |
| 04 | PGC3103691 | S2 | 925.1089 | 1.0012 | 3433.6970 | 3.7121 |
| 04 | PGC3105256 | S2 | 938.9148 | 1.0228 | 3319.1996 | 3.6118 |
| 04 | SDSSJ033248.50-001012.3 | S2 | 934.9315 | 1.0162 | 3196.6928 | 3.4709 |
| 04 | PGC1021728 | S2 | 921.0369 | 1.0022 | 3605.2681 | 3.9188 |
| 04 | PGC3113266 | S2 | 939.5186 | 1.0102 | 3128.6575 | 3.3605 |
| 04 | PGC3105140 | S2 | 1011.8420 | 1.0892 | 14442.6342 | 15.5297 |
| 04 | PGC1020921 | S2 | 1011.0886 | 1.0802 | 384484.6466 | 410.3358 |
| 04 | PGC1033809 | S2 | 928.1561 | 1.0002 | 3686.9639 | 3.9687 |
| 04 | NGC1241 | S2 | 1234.2753 | 1.3578 | 11653.8019 | 12.8064 |
| 04 | 2MASXJ03300369-0048063 | S2 | 930.8276 | 1.0096 | 3307.5410 | 3.5835 |
| 04 | PGC3106944 | S2 | 1171.4793 | 1.2706 | 5141.8744 | 5.5708 |
| 04 | SDSSJ033139.65-011135.4 | S2 | 985.8096 | 1.0833 | 3350.2160 | 3.6775 |
| 04 | PGC089954 | S2 | 917.0149 | 1.0000 | 3227.2817 | 3.5156 |
| 04 | PGC999248 | S2 | 918.6692 | 1.0018 | 3292.8603 | 3.5870 |
| 04 | PGC176451 | S2 | 1245.2315 | 1.3318 | 172940.8500 | 184.7659 |
| 04 | PGC1017558 | S2 | 923.3581 | 1.0113 | 3942.6670 | 4.3136 |
| 04 | PGC1008738 | S2 | 1134.4249 | 1.2291 | 3667.7833 | 3.9695 |
| 04 | PGC1020891 | S2 | 960.5650 | 1.0544 | 7545.9043 | 8.2740 |
| 04 | SDSSJ025725.99-063205.4 | S2 | 1059.1107 | 1.1512 | 5011.5506 | 5.4414 |
| 04 | SDSSJ032435.70-065522.6 | S2 | 1525.7746 | 1.6657 | 5944.6544 | 6.4827 |
| 04 | PGC3108180 | S2 | 931.6534 | 1.0029 | 2831.4222 | 3.0445 |
| 04 | PGC1027155 | S2 | 1355.5895 | 1.4929 | 4232.4434 | 4.6562 |
| 04 | SDSSJ031547.01-075938.1 | S2 | 933.4560 | 1.0157 | 3232.0170 | 3.5131 |
| 04 | PGC1003901 | S2 | 1028.1400 | 1.1139 | 6958.5645 | 7.5309 |
| 04 | PGC1001166 | S2 | 1126.5132 | 1.2339 | 5896.4696 | 6.4513 |
| 04 | SDSSJ034205.65-065437.8 | S2 | 978.0068 | 1.0724 | 3351.0311 | 3.6704 |
| 04 | PGC3107105 | S2 | 1084.0383 | 1.1757 | 3301.9818 | 3.5774 |
| 04 | PGC1032962 | S2 | 1132.9896 | 1.2302 | 9466.9107 | 10.2678 |
| 04 | PGC1149695 | S2 | 1007.5576 | 1.1060 | 3186.4430 | 3.4939 |
| 04 | PGC1016289 | S2 | 1109.1995 | 1.2176 | 3610.5742 | 3.9590 |
| 04 | PGC1143716 | S2 | 1215.1767 | 1.3137 | 4505.6848 | 4.8658 |
| 04 | PGC013034 | S2 | 1114.0209 | 1.2109 | 4961.1529 | 5.3867 |
| 04 | PGC1007099 | S2 | 982.0139 | 1.0744 | 4329.0844 | 4.7312 |
| 04 | PGC3104919 | S2 | 944.1891 | 1.0153 | 3070.8313 | 3.2984 |
| 04 | PGC1029325 | S2 | 941.0298 | 1.0151 | 3131.4574 | 3.3744 |
| 04 | PGC3103915 | S2 | 919.3812 | 1.0015 | 3382.7477 | 3.6809 |
| 04 | PGC1186531 | S2 | 1123.8383 | 1.2529 | 2435.8037 | 2.7125 |
| 04 | PGC3117486 | S2 | 3970.8196 | 4.7215 | 32053.3727 | 38.0681 |
| 04 | PGC1170971 | S2 | 1089.4666 | 1.1690 | 23399.8491 | 25.0802 |
| 04 | SDSSJ030418.80+003250.2 | S2 | 1023.7220 | 1.0949 | 2702.9265 | 2.8877 |
| 04 | 2MASXJ03020125-0101177 | S1.8 | 927.3378 | 1.0004 | 1871.1471 | 2.0163 |
| 04 | PGC010539 | S2 | 1126.4075 | 1.2086 | 214766.0147 | 230.1887 |
| 04 | PGC1156658 | S2 | 1112.5208 | 1.2119 | 2793.7637 | 3.0400 |
| 04 | PGC1158889 | S2 | 1322.7349 | 1.4568 | 6925.3219 | 7.6186 |
| 04 | PGC1148489 | S2 | 986.3779 | 1.0721 | 2411.3755 | 2.6182 |
| 04 | SDSSJ032029.77+003153.5 | S2 | 1229.7344 | 1.3323 | 4878.9041 | 5.2802 |
| 04 | PGC1175192 | S2 | 1059.3586 | 1.1367 | 2460.4028 | 2.6371 |
| 04 | PGC1139111 | S2 | 950.6766 | 1.0356 | 3195.0158 | 3.4766 |
| 04 | IC0283 | S2 | 1187.1145 | 1.2737 | 4514.6780 | 4.8389 |
| 04 | PGC010760 | S2 | 3623.8565 | 3.9219 | 26349.3018 | 28.4857 |
| 04 | PGC3110311 | S2 | 1082.1961 | 1.1725 | 2965.8183 | 3.2098 |
| 04 | 2MASXJ03023747-0040079 | S2 | 936.5595 | 1.0060 | 1691.0551 | 1.8144 |
| 04 | 2MASXJ02561732-0024008 | S2 | 912.4037 | 1.0015 | 1456.9375 | 1.5975 |
| 04 | PGC3108549 | S2 | 933.0512 | 1.0001 | 2118.6102 | 2.2683 |
| 04 | SDSSJ024607.92-000531.9 | S2 | 1055.8262 | 1.1602 | 3420.6133 | 3.7548 |
| 04 | SDSSJ025003.31-000430.9 | S2 | 1025.6396 | 1.1160 | 2191.1889 | 2.3817 |
| 04 | PGC3116707 | S2 | 1123.0832 | 1.2207 | 15437.0162 | 16.7611 |
| 04 | PGC3117706 | S2 | 1113.6412 | 1.1949 | 4199.5843 | 4.5012 |
| 04 | PGC1178810 | S2 | 1142.7663 | 1.2740 | 3392.5854 | 3.7779 |
| 04 | PGC012084 | S2 | 923.0778 | 1.0012 | 3897.4980 | 4.2226 |
| 04 | PGC3118414 | S2 | 1014.6297 | 1.0875 | 3825.7487 | 4.0961 |
| 04 | PGC1171486 | S2 | 1971.7264 | 2.1179 | 97221.2296 | 104.3146 |
| 04 | SDSSJ032011.94+002702.1 | S2 | 920.4660 | 1.0005 | 2658.8138 | 2.8869 |
| 04 | PGC3116368 | S2 | 919.2106 | 1.0046 | 2600.5764 | 2.8391 |
| 04 | 2MASXJ02552996+0031477 | S2 | 1065.0653 | 1.1666 | 3052.0122 | 3.3392 |
| 04 | PGC3118243 | S2 | 969.9731 | 1.0419 | 2848.6199 | 3.0565 |
| 04 | SDSSJ024946.09+001003.0 | S2 | 907.8473 | 1.0043 | 1934.5244 | 2.1376 |
| 04 | PGC3117922 | S2 | 962.9561 | 1.0266 | 212482.3811 | 226.2858 |
| 04 | NGC1142 | S2 | 3616.4852 | 3.9013 | 69379.1284 | 74.7620 |
| 04 | SDSSJ030650.31-002104.2 | S2 | 1194.5475 | 1.2762 | 64118.4563 | 68.4295 |
| 04 | PGC3109606 | S2 | 973.8392 | 1.0539 | 2057.6712 | 2.2245 |
| 04 | PGC3115740 | S2 | 1031.2735 | 1.1149 | 2239.5522 | 2.4185 |
| 04 | PGC3116833 | S2 | 1219.0532 | 1.3193 | 2757.1526 | 2.9807 |
| 04 | SDSSJ032451.22+010705.6 | S2 | 916.7235 | 1.0085 | 3998.5956 | 4.3941 |
| 04 | PGC1148204 | S2 | 937.4312 | 1.0091 | 2965.6482 | 3.1889 |
| 04 | PGC174754 | S2 | 905.8242 | 1.0020 | 3008.8120 | 3.3247 |
| 04 | PGC1155339 | S2 | 935.8280 | 1.0183 | 3205.6335 | 3.4844 |
| 04 | PGC1163239 | S2 | 1990.6624 | 2.1474 | 61459.1748 | 66.2276 |
| 04 | SDSSJ021123.75+010632.9 | S2 | 1126.2856 | 1.2269 | 4744.0661 | 5.1622 |
| 04 | SDSSJ020750.69-004810.4 | S2 | 997.5539 | 1.0843 | 3029.5529 | 3.2894 |
| 04 | PGC3113795 | S2 | 1901.4835 | 2.0804 | 24666.4550 | 26.9579 |
| 04 | SDSSJ021758.18-001302.7 | S2 | 979.6953 | 1.0637 | 2931.5695 | 3.1796 |
| 04 | PGC1179440 | S2 | 929.4600 | 1.0027 | 3490.5833 | 3.7614 |
| 04 | PGC009252 | S2 | 932.7235 | 1.0094 | 3159.9129 | 3.4161 |
| 04 | PGC144901 | S2 | 2514.5747 | 2.7038 | 12670.7018 | 13.6098 |
| 04 | PGC3111561 | S2 | 1035.0141 | 1.1287 | 3808.3390 | 4.1485 |
| 04 | PGC3111505 | S2 | 927.6316 | 1.0028 | 2766.3958 | 2.9875 |
| 04 | PGC3108403 | S2 | 948.4541 | 1.0309 | 2771.4534 | 3.0092 |
| 04 | PGC3109939 | S2 | 1515.8508 | 1.6299 | 10290.3566 | 11.0530 |
| 04 | PGC1160833 | S2 | 1064.4617 | 1.1409 | 3842.1641 | 4.1137 |
| 04 | PGC1139108 | S2 | 1669.1207 | 1.7928 | 80316.8043 | 86.1768 |
| 04 | PGC3114218 | S2 | 1475.1315 | 1.5896 | 4627.4518 | 4.9811 |
| 04 | PGC1177956 | S2 | 1027.8056 | 1.1319 | 4507.0093 | 4.9582 |
| 04 | UGC02024 | S2 | 2269.0780 | 2.4191 | 86789.2688 | 92.4273 |
| 04 | PGC3117377 | S2 | 1031.1449 | 1.1135 | 2944.4237 | 3.1763 |
| 04 | PGC1157707 | S2 | 1108.3553 | 1.1931 | 4954.3392 | 5.3272 |
| 04 | PGC1161619 | S2 | 1098.1969 | 1.1885 | 3747.5229 | 4.0514 |
| 04 | PGC1128776 | S2 | 948.6430 | 1.0256 | 3756.3191 | 4.0565 |
| 04 | PGC1181056 | S2 | 1104.3382 | 1.2030 | 3277.9505 | 3.5669 |
| 04 | PGC1154192 | S2 | 1525.6782 | 1.6530 | 7626.9832 | 8.2543 |
| 04 | PGC1126510 | S2 | 1076.6492 | 1.1665 | 4953.3530 | 5.3608 |
| 04 | PGC1179154 | S2 | 2918.7294 | 3.1486 | 230804.0966 | 248.7113 |
| 04 | PGC175222 | S2 | 1048.3982 | 1.1396 | 4635.1292 | 5.0327 |
| 04 | PGC144993 | S2 | 1384.9970 | 1.4892 | 5382.9552 | 5.7819 |
| 04 | PGC1134418 | S2 | 1282.3927 | 1.3715 | 65604.2559 | 70.0900 |
| 04 | PGC1168047 | S2 | 926.2548 | 1.0024 | 3259.9096 | 3.5242 |
| 04 | PGC3115430 | S2 | 966.0232 | 1.0500 | 3581.8888 | 3.8891 |
| 04 | PGC1156542 | S2 | 941.2797 | 1.0242 | 2844.7239 | 3.0921 |
| 04 | PGC1177633 | S2 | 1022.8809 | 1.1155 | 4052.4992 | 4.4145 |
| 04 | PGC1141453 | S2 | 1030.8127 | 1.1328 | 3818.8578 | 4.1919 |
| 04 | PGC1159686 | S2 | 1226.3305 | 1.3301 | 8145.3102 | 8.8248 |
| 04 | PGC1141515 | S2 | 932.5195 | 1.0027 | 2483.5590 | 2.6676 |
| 04 | PGC1150935 | S2 | 1050.3816 | 1.1258 | 4524.9202 | 4.8447 |
| 04 | PGC1126483 | S2 | 2160.2580 | 2.3532 | 9162.2399 | 9.9698 |
| 04 | PGC3113954 | S2 | 1027.8673 | 1.1148 | 3775.1072 | 4.0900 |
| 04 | UGC01876 | S2 | 990.3701 | 1.0812 | 3642.0397 | 3.9717 |
| 04 | 2MASXJ02044427+0110155 | S2 | 941.8453 | 1.0041 | 408542.6497 | 435.0827 |
| 04 | PGC1138978 | S2 | 1693.0419 | 1.8323 | 7193.3859 | 7.7766 |
| 04 | PGC3114767 | S2 | 1078.6319 | 1.1561 | 2997.9084 | 3.2098 |
| 04 | PGC1184524 | S2 | 943.0571 | 1.0284 | 3287.6207 | 3.5813 |
| 04 | NGC1019 | S1.5 | 1076.2787 | 1.1610 | 12569.9084 | 13.5452 |
| 04 | PGC3108049 | S2 | 939.4533 | 1.0069 | 6312.2446 | 6.7583 |
| 04 | PGC1152664 | S2 | 926.2692 | 1.0057 | 3338.3738 | 3.6208 |
| 04 | SDSSJ015704.28-011116.9 | S2 | 966.0987 | 1.0547 | 3224.5729 | 3.5164 |
| 04 | PGC3107379 | S2 | 1172.6030 | 1.2718 | 3765.3080 | 4.0794 |
| 04 | PGC3108185 | S2 | 1242.1133 | 1.3487 | 4413.6998 | 4.7871 |
| 04 | SDSSJ021757.82-011324.3 | S2 | 933.1305 | 1.0088 | 3478.4603 | 3.7564 |
| 04 | PGC1130037 | S2 | 932.3847 | 1.0091 | 2961.0601 | 3.2011 |
| 04 | PGC3109064 | S2 | 933.2978 | 1.0035 | 4359222.9085 | 4682.3017 |
| 04 | SDSSJ020036.59+004549.3 | S1.8 | 948.9413 | 1.0259 | 3070.1935 | 3.3155 |
| 04 | PGC3108784 | S2 | 957.8516 | 1.0378 | 2963.2533 | 3.2070 |
| 04 | PGC1177952 | S2 | 950.3998 | 1.0319 | 4766.1028 | 5.1693 |
| 04 | SDSSJ022341.01+011446.6 | S2 | 1331.8083 | 1.4587 | 6283.3549 | 6.8746 |
| 04 | PGC1176895 | S2 | 969.4121 | 1.0435 | 2993.9279 | 3.2193 |
| 04 | PGC1178738 | S2 | 1506.1503 | 1.6265 | 5948.2481 | 6.4167 |
| 04 | PGC3107636 | S2 | 1187.1854 | 1.2961 | 3418.9827 | 3.7284 |
| 04 | PGC1136187 | S2 | 993.1104 | 1.0702 | 3298.0473 | 3.5501 |
| 04 | SDSSJ022519.36+011139.4 | S2 | 1467.1621 | 1.6000 | 5326.6564 | 5.8025 |
| 04 | PGC1151398 | S2 | 1038.5626 | 1.1350 | 3770.3974 | 4.1162 |
| 04 | PGC1152083 | S2 | 925.3341 | 1.0124 | 2891.2606 | 3.1598 |
| 04 | PGC175238 | S2 | 935.0215 | 1.0022 | 3551.3452 | 3.8023 |
| 04 | UGC02061 | S2 | 1688.1263 | 1.8290 | 4595.9958 | 4.9740 |
| 04 | SDSSJ023305.96+003856.4 | S1.8 | 936.5945 | 1.0125 | 3525.0889 | 3.8068 |
| 04 | PGC174392 | S2 | 1235.0001 | 1.3223 | 4629.2073 | 4.9510 |
| 04 | PGC1181891 | S2 | 1490.3197 | 1.5922 | 58698.5006 | 62.6451 |
| 04 | SDSSJ022150.03-000653.9 | S2 | 3484.0128 | 3.7624 | 24726.5021 | 26.6737 |
| 04 | SDSSJ015521.69-004149.9 | S1.8 | 930.3183 | 1.0101 | 3554.4738 | 3.8552 |
| 04 | PGC3115676 | S2 | 955.4482 | 1.0352 | 3242.9293 | 3.5097 |
| 04 | PGC1144375 | S2 | 942.5736 | 1.0081 | 3318.9605 | 3.5459 |
| 04 | PGC3117024 | S2 | 1294.5315 | 1.4010 | 13828.5584 | 14.9498 |
| 04 | SDSSJ023359.93+004012.7 | S2 | 1004.6362 | 1.0791 | 4130.9658 | 4.4324 |
| 04 | SDSSJ021747.05+004322.1 | S2 | 955.9908 | 1.0302 | 2922.4429 | 3.1458 |
| 04 | NGC1365 | S1.8 | 939.9023 | 1.0031 | 45947.5945 | 48.9846 |
| 04 | IC1859 | S2 | 954.7959 | 1.0234 | 3693.2308 | 3.9542 |
| 04 | ESO417-006 | S2 | 1135.6411 | 1.2133 | 553769.0536 | 591.0022 |
| 04 | ESO299-020 | S2 | 943.7923 | 1.0159 | 3513.0897 | 3.7775 |
| 04 | ESO482-014 | S2 | 941.2227 | 1.0110 | 2838.5050 | 3.0456 |
| 04 | PGC133092 | S2 | 1080.7214 | 1.1696 | 7690.7108 | 8.3143 |
| 04 | PGC013982 | S2 | 940.6664 | 1.0202 | 3000.8191 | 3.2512 |
| 04 | ESO420-013 | S2 | 991.5419 | 1.0605 | 55769.8106 | 59.5831 |
